eV;e1;e2
4.960000;3.478449;1.206820
4.940000;3.481692;1.212322
4.920000;3.485187;1.217676
4.900000;3.488932;1.222876
4.880000;3.492924;1.227917
4.860000;3.497159;1.232793
4.840000;3.501632;1.237499
4.820000;3.506341;1.242028
4.800000;3.511281;1.246375
4.780000;3.516448;1.250535
4.760000;3.521836;1.254503
4.740000;3.527442;1.258271
4.720000;3.533260;1.261837
4.700000;3.539286;1.265193
4.680000;3.545512;1.268336
4.660000;3.551935;1.271259
4.640000;3.558547;1.273958
4.620000;3.565344;1.276429
4.600000;3.572319;1.278666
4.580000;3.579464;1.280666
4.560000;3.586775;1.282423
4.540000;3.594243;1.283934
4.520000;3.601861;1.285194
4.500000;3.609624;1.286201
4.480000;3.617523;1.286950
4.460000;3.625550;1.287439
4.440000;3.633699;1.287663
4.420000;3.641961;1.287621
4.400000;3.650328;1.287310
4.380000;3.658792;1.286727
4.360000;3.667346;1.285870
4.340000;3.675981;1.284737
4.320000;3.684687;1.283328
4.300000;3.693458;1.281641
4.280000;3.702285;1.279674
4.260000;3.711159;1.277427
4.240000;3.720071;1.274900
4.220000;3.729014;1.272093
4.200000;3.737978;1.269006
4.180000;3.746954;1.265639
4.160000;3.755935;1.261993
4.140000;3.764911;1.258070
4.120000;3.773875;1.253871
4.100000;3.782818;1.249397
4.080000;3.791731;1.244651
4.060000;3.800606;1.239635
4.040000;3.809436;1.234352
4.020000;3.818212;1.228804
4.000000;3.826926;1.222994
3.980000;3.835570;1.216927
3.960000;3.844138;1.210605
3.940000;3.852621;1.204033
3.920000;3.861012;1.197215
3.900000;3.869305;1.190155
3.880000;3.877492;1.182859
3.860000;3.885566;1.175330
3.840000;3.893523;1.167574
3.820000;3.901353;1.159596
3.800000;3.909054;1.151402
3.780000;3.916617;1.142997
3.760000;3.924039;1.134387
3.740000;3.931313;1.125578
3.720000;3.938435;1.116576
3.700000;3.945400;1.107387
3.680000;3.952203;1.098018
3.660000;3.958841;1.088475
3.640000;3.965309;1.078764
3.620000;3.971604;1.068892
3.600000;3.977721;1.058866
3.580000;3.983660;1.048692
3.560000;3.989415;1.038376
3.540000;3.994984;1.027926
3.520000;4.000366;1.017349
3.500000;4.005558;1.006651
3.480000;4.010559;0.995838
3.460000;4.015366;0.984918
3.440000;4.019978;0.973896
3.420000;4.024395;0.962781
3.400000;4.028615;0.951577
3.380000;4.032637;0.940293
3.360000;4.036461;0.928933
3.340000;4.040088;0.917505
3.320000;4.043516;0.906015
3.300000;4.046747;0.894469
3.280000;4.049780;0.882873
3.260000;4.052616;0.871233
3.240000;4.055255;0.859554
3.220000;4.057700;0.847844
3.200000;4.059950;0.836107
3.180000;4.062007;0.824348
3.160000;4.063873;0.812574
3.140000;4.065549;0.800789
3.120000;4.067036;0.788999
3.100000;4.068336;0.777208
3.080000;4.069452;0.765422
3.060000;4.070385;0.753645
3.040000;4.071138;0.741882
3.020000;4.071712;0.730136
3.000000;4.072110;0.718413
2.980000;4.072334;0.706717
2.960000;4.072387;0.695051
2.940000;4.072270;0.683420
2.920000;4.071988;0.671827
2.900000;4.071542;0.660275
2.880000;4.070935;0.648769
2.860000;4.070169;0.637311
2.840000;4.069249;0.625905
2.820000;4.068175;0.614554
2.800000;4.066951;0.603260
2.780000;4.065580;0.592027
2.760000;4.064065;0.580856
2.740000;4.062407;0.569752
2.720000;4.060611;0.558715
2.700000;4.058680;0.547749
2.680000;4.056615;0.536855
2.660000;4.054420;0.526036
2.640000;4.052097;0.515293
2.620000;4.049649;0.504629
2.600000;4.047080;0.494045
2.580000;4.044391;0.483543
2.560000;4.041585;0.473125
2.540000;4.038666;0.462792
2.520000;4.035635;0.452545
2.500000;4.032496;0.442385
2.480000;4.029251;0.432315
2.460000;4.025902;0.422334
2.440000;4.022453;0.412445
2.420000;4.018904;0.402649
2.400000;4.015260;0.392945
2.380000;4.011522;0.383336
2.360000;4.007692;0.373822
2.340000;4.003773;0.364403
2.320000;3.999767;0.355081
2.300000;3.995677;0.345856
2.280000;3.991503;0.336729
2.260000;3.987250;0.327701
2.240000;3.982917;0.318772
2.220000;3.978508;0.309943
2.200000;3.974025;0.301214
2.180000;3.969469;0.292585
2.160000;3.964842;0.284058
2.140000;3.960146;0.275633
2.120000;3.955383;0.267310
2.100000;3.950553;0.259090
2.080000;3.945660;0.250973
2.060000;3.940705;0.242959
2.040000;3.935688;0.235049
2.020000;3.930612;0.227244
2.000000;3.925478;0.219544
1.980000;3.920288;0.211950
1.960000;3.915042;0.204462
1.940000;3.909743;0.197080
1.920000;3.904391;0.189805
1.900000;3.898988;0.182638
1.880000;3.893534;0.175579
1.860000;3.888032;0.168630
1.840000;3.882482;0.161790
1.820000;3.876885;0.155060
1.800000;3.871243;0.148442
1.780000;3.865556;0.141936
1.760000;3.859826;0.135544
1.740000;3.854053;0.129265
1.720000;3.848239;0.123102
1.700000;3.842385;0.117056
1.680000;3.836491;0.111127
1.660000;3.830559;0.105317
1.640000;3.824589;0.099628
1.620000;3.818584;0.094062
1.600000;3.812543;0.088619
1.580000;3.806468;0.083302
1.560000;3.800361;0.078113
1.540000;3.794222;0.073054
1.520000;3.788052;0.068127
1.500000;3.781854;0.063335
1.480000;3.775628;0.058680
1.460000;3.769376;0.054166
1.440000;3.763100;0.049795
1.420000;3.756802;0.045571
1.400000;3.750484;0.041497
1.380000;3.744148;0.037577
1.360000;3.737797;0.033815
1.340000;3.731434;0.030216
1.320000;3.725062;0.026785
1.300000;3.718684;0.023526
1.280000;3.712307;0.020445
1.260000;3.705934;0.017548
1.240000;3.699570;0.014841
